playedEnough,statistics.rating,statistics.id,statistics.type,statistics.appearances,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,category,statistics.goals,statistics.expectedGoals,statistics.assists,statistics.expectedAssists,statistics.goalsAssistsSum,statistics.penaltiesTaken,statistics.penaltyGoals,statistics.shotFromSetPiece,statistics.freeKickGoal,statistics.scoringFrequency,statistics.totalShots,statistics.shotsOnTarget,statistics.bigChancesMissed,statistics.bigChancesCreated,statistics.accuratePasses,statistics.accuratePassesPercentage,statistics.keyPasses,statistics.accurateLongBalls,statistics.successfulDribbles,statistics.successfulDribblesPercentage,statistics.penaltyWon,statistics.tackles,statistics.interceptions,statistics.clearances,statistics.possessionLost,statistics.yellowCards,statistics.redCards
True,,866910,overall,24,Karim Benzema,karim-benzema,K. Benzema,F,164944,3306,penaltyGoals,,,,,,8.0,7.0,,,,,,,,,,,,,,,,,,,,
True,,876778,overall,34,Rodrygo,rodrygo,Rodrygo,F,59539,910536,penaltyGoals,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
True,,866902,overall,33,Luka Modrić,luka-modric,L. Modrić,M,87724,15466,penaltyGoals,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
True,,871132,overall,31,Marco Asensio,marco-asensio,M. Asensio,F,19176,361004,penaltyGoals,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
True,,866906,overall,6,Eden Hazard,eden-hazard,E. Hazard,F,87552,27583,penaltyGoals,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
True,,866930,overall,23,David Alaba,david-alaba,D. Alaba,D,16914,66492,freeKickGoal,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,
True,,866910,overall,24,Karim Benzema,karim-benzema,K. Benzema,F,164944,3306,freeKickGoal,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,
True,,876778,overall,34,Rodrygo,rodrygo,Rodrygo,F,59539,910536,freeKickGoal,,,,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,
True,,866928,overall,30,Toni Kroos,toni-kroos,T. Kroos,M,46660,26502,freeKickGoal,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,
True,,871132,overall,31,Marco Asensio,marco-asensio,M. Asensio,F,19176,361004,freeKickGoal,,,,,,,,5.0,0.0,,,,,,,,,,,,,,,,,,
True,,866912,overall,34,Federico Valverde,federico-valverde,F. Valverde,M,38049,831808,freeKickGoal,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,
True,,866902,overall,33,Luka Modrić,luka-modric,L. Modrić,M,87724,15466,freeKickGoal,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
False,,957664,overall,6,Álvaro Rodríguez,alvaro-rodriguez,Á. Rodríguez,F,5838,1154587,scoringFrequency,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,
True,,866910,overall,24,Karim Benzema,karim-benzema,K. Benzema,F,164944,3306,scoringFrequency,,,,,,,,,,107.57894736842,,,,,,,,,,,,,,,,,
